Index,SceneTime(seconds),FramesPerSecond,TotalAllocatedMemory(kB),MeshMemory(kB),ElapsedTime(seconds//milliseconds)
0,112.5354,144.2523,499416,69387,04:33.2
1,112.5434,123.6094,,,
2,112.5506,140.5541,,,
3,112.5579,136.3066,,,
4,112.5656,129.2908,,,
5,112.5726,142.6025,,,
6,112.5806,126.3791,,,
7,112.5876,140.9066,,,
8,112.5955,127.8004,,,
9,112.6025,142.0293,,,
10,112.6106,123.5239,,,
11,112.6175,146.0664,,,
12,112.6247,138.3681,,,
13,112.6327,125.1032,,,
14,112.6396,144.1795,,,
15,112.6477,123.6874,,,
16,112.6546,144.9191,,,
17,112.6628,122.6542,,,
18,112.6699,139.8093,,,
19,112.6776,129.4113,,,
20,112.6847,142.286,,,
21,112.6922,132.5785,,,
22,112.6996,135.2869,,,
23,112.7069,137.7107,,,
24,112.7148,125.2756,,,
25,112.7218,142.747,,,
26,112.7297,127.6862,,,
27,112.7367,141.3148,,,
28,112.7448,123.6063,,,
29,112.7518,144.6152,,,
30,112.7591,135.4628,,,
31,112.7663,138.8253,,,
32,112.7737,135.6098,,,
33,112.7816,126.5118,,,
34,112.7885,145.9747,,,
35,112.7967,121.2048,,,
36,112.8037,143.8559,,,
37,112.8116,126.9164,,,
38,112.8186,141.9688,,,
39,112.826,134.3923,,,
40,112.8352,108.7004,,,
41,112.8405,189.613,,,
42,112.8482,130.1575,,,
43,112.8555,137.3645,,,
44,112.8635,123.928,,,
45,112.8704,145.9002,,,
46,112.8784,124.273,,,
47,112.8859,133.3547,,,
48,112.8937,128.6604,,,
49,112.9008,141.3627,,,
50,112.9079,139.8738,,,
51,112.9158,127.7335,,,
52,112.9232,133.6577,,,
53,112.931,128.861,,,
54,112.9384,136.0655,,,
55,112.9463,125.1721,,,
56,112.9537,136.3308,,,
57,112.9616,125.6692,,,
58,112.9685,146.4708,,,
59,112.9763,127.0099,,,
60,112.984,130.3492,,,
61,112.9915,133.0052,,,
62,112.9993,128.2298,,,
63,113.0063,142.5496,,,
64,113.0143,125.9573,,,
65,113.0213,142.2516,,,
66,113.0361,67.49915,,,
67,113.0374,795.8615,,,
68,113.0444,143.4082,,,
69,113.0513,144.2335,,,
70,113.0586,136.6251,,,
71,113.0665,126.0668,,,
72,113.0736,141.3847,,,
73,113.0816,124.6789,,,
74,113.0887,141.2888,,,
75,113.0965,128.9807,,,
76,113.1038,136.5691,,,
77,113.1115,130.2219,,,
78,113.1187,137.8645,,,
79,113.1261,135.1096,,,
80,113.1335,136.1322,,,
81,113.1406,139.2952,,,
82,113.1484,128.5347,,,
83,113.1559,133.4187,,,
84,113.1639,125.7245,,,
85,113.1709,143.2603,,,
86,113.1786,129.0456,,,
87,113.1857,141.4847,,,
88,113.1936,126.939,,,
89,113.2007,140.2721,,,
90,113.2088,123.1087,,,
91,113.2225,72.97406,,,
92,113.2237,835.9806,,,
93,113.2307,142.9531,,,
94,113.2378,141.1732,,,
95,113.2457,125.9065,,,
96,113.2528,141.5248,,,
97,113.2608,124.8829,,,
98,113.268,138.8754,,,
99,113.2767,115.2313,,,
